"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"241",NA,"UnitedHealthcare Insurance Company (AR,LA,OK,TX)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AR","PPO","Yes",NA,2,3,"Medicare"
"110",NA,"[ No Data Submitted for Accounts ]","AR","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"99",5,"Kaiser Foundation Health Plan, Inc. - Northern California","CA","HMO","Yes",3,5,4.5,"Commercial"
"108",4.5,"Kaiser Foundation Health Plan Inc. - Southern California","CA","HMO","Yes",3,4.5,4,"Commercial"
"118",4.5,"Sharp Health Plan","CA","HMO","Yes",4,3.5,3.5,"Commercial"
"128",4,"Western Health Advantage","CA","HMO","Yes",4,3.5,3,"Commercial"
"138",3.5,"Aetna Life Insurance Company (California)","CA","PPO/EPO","Yes",3,2.5,3,"Commercial"
"144",3.5,"Anthem Blue Cross Life and Health Insurance Company","CA","PPO","Yes",2.5,3,3,"Commercial"
"154",3.5,"Blue Cross of California dba Anthem Blue Cross","CA","HMO/POS","Yes",2.5,3,3,"Commercial"
"164",3.5,"Blue Cross of California dba Anthem Blue Cross","CA","PPO","Yes",2.5,3,3,"Commercial"
"174",3.5,"Blue Shield of California","CA","HMO/POS","Yes",3,3,3,"Commercial"
"184",3.5,"Chinese Community Health Plan","CA","HMO","No",2,3.5,NA,"Commercial"
"194",3.5,"Cigna HealthCare of California, Inc.","CA","HMO/POS","Yes",2.5,3,2.5,"Commercial"
"203",3.5,"Health Net of California, Inc.","CA","HMO/POS","Yes",2.5,3,3,"Commercial"
"212",3.5,"UnitedHealthcare of California (formerly PacifiCare of California)","CA","HMO","Yes",3.5,2.5,3,"Commercial"
"222",3.5,"Valley Health Plan","CA","HMO","Yes",1.5,3.5,3.5,"Commercial"
"232",3,"Cigna Health and Life Insurance Company - California","CA","PPO","Yes",2,2.5,2.5,"Commercial"
"242",3,"Connecticut General Life Insurance Company - California","CA","PPO","Yes",2,2.5,2.5,"Commercial"
"251",3,"United HealthCare Services, Inc. (California)","CA","PPO","Yes",1.5,3,3,"Commercial"
"261",3,"UnitedHealthcare Insurance Company (California)","CA","PPO","Yes",1.5,3,3,"Commercial"
"27",2.5,"Aetna Health of California, Inc.","CA","HMO/POS","Yes",2,2,2.5,"Commercial"
"28",2.5,"Alameda Alliance for Health Joint  Powers Authority","CA","HMO","Yes",2,1.5,2,"Commercial"
"29",12,"12","CA","12","12",12,12,12,"Commercial"
"910",5,"Kaiser Foundation Health Plan Inc. - Southern California
                                    
                                        
                                    

                                    
                                        Special Project: AccreditationCMS Contract: H0524","CA","HMO","Yes",4,5,4.5,"Medicare"
"109",5,"Kaiser Foundation Health Plan, Inc. - Northern California
                                    
                                        
                                    

                                    
                                        Special Project / Area: Accreditation / NorthCMS Contract: H0524","CA","HMO","Yes",4,5,4.5,"Medicare"
"119",4.5,"Aetna Life Insurance Company (California)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CA","PPO","Yes",3.5,4,4,"Medicare"
"129",4,"Aetna Health of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0523","CA","HMO","Yes",2.5,3,3.5,"Medicare"
"139",4,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CA","PPO","Yes",3.5,4,3.5,"Medicare"
"145",3.5,"Blue Shield of California
                                    
                                        
                                    

                                    
                                        CMS Contract: H0504","CA","HMO","Yes",3.5,3,3,"Medicare"
"155",3.5,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0562","CA","HMO","Yes",3,3.5,3,"Medicare"
"165",3.5,"SCAN Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H5425","CA","HMO","No",2.5,3.5,3.5,"Medicare"
"175",3.5,"UnitedHealthcare of California (formerly PacifiCare of California)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0543","CA","HMO","Yes",3,3.5,3.5,"Medicare"
"185",3,"Chinese Community Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H0571","CA","HMO","No",1.5,3.5,4,"Medicare"
"195",3,"Golden State Medicare Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H2241","CA","HMO","No",2.5,3.5,3,"Medicare"
"204",3,"Inter Valley Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H0545","CA","HMO","No",3,4,3,"Medicare"
"213",3,"Local Initiative Health Authority, dba L.A. Care Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H8258","CA","HMO","Yes",1.5,1.5,2.5,"Medicare"
"223",2.5,"Central Health Plan of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5649","CA","HMO","No",1.5,3.5,2.5,"Medicare"
"233",2.5,"Community Health Group
                                    
                                        
                                    

                                    
                                        CMS Contract: H5172","CA","HMO","No",2.5,2.5,3,"Medicare"
"243",2.5,"Easy Choice Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5087","CA","HMO","No",1.5,2.5,3,"Medicare"
"252",2.5,"Molina Healthcare of California Partner Plan Inc. †
                                    
                                        
                                    

                                    
                                        CMS Contract: H5810","CA","HMO","No",1.5,2.5,2.5,"Medicare"
"262",2.5,"Molina Healthcare of California Partner Plan Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H8677","CA","HMO","No",2,1.5,3,"Medicare"
"271",2.5,"Santa Clara County Health Authority, dba Santa Clara Family Health Plan (“SCFHP”)
                                    
                                        
                                    

                                    
                                        CMS Contract: H7890","CA","HMO","No (In process)",NA,2.5,3,"Medicare"
"281",2.5,"Universal Care Inc., dba Brand New Day Health Maintenance Organization
                                    
                                        
                                    

                                    
                                        CMS Contract: H0838","CA","HMO","No",NA,1.5,2.5,"Medicare"
"291",12,"12","CA","12","12",12,12,12,"Medicare"
"911",3.5,"Orange County Health Authority  -  dba CalOptima","CA","HMO","Yes",1.5,3.5,3.5,"Medicaid"
"1010",3,"Alameda Alliance for Health","CA","HMO","Yes",3,2.5,2.5,"Medicaid"
"1110",3,"Blue Cross of California Partnership Plan","CA","HMO","Yes",2,2.5,3,"Medicaid"
"1210",3,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Area: San Diego","CA","HMO","Yes",2.5,3,2.5,"Medicaid"
"1310",3,"Community Health Group","CA","HMO","Yes",2.5,2.5,2.5,"Medicaid"
"146",3,"Inland Empire Health Plan","CA","HMO","Yes",2,3,3,"Medicaid"
"156",3,"Local Initiative Health Authority, dba L.A. Care Health Plan","CA","HMO","Yes",1.5,2.5,3,"Medicaid"
"166",3,"Molina Healthcare of California Partner Plan Inc.","CA","HMO","Yes",1.5,3,3,"Medicaid"
"176",2.5,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Area: Los Angeles","CA","HMO","Yes",2,2.5,1.5,"Medicaid"
"186",2.5,"Contra Costa Health Plan","CA","HMO","Yes",2,3,2,"Medicaid"
"196",NA,"Central California Alliance for Health
                                    
                                        
                                    

                                    
                                        Special Project / Area: MediCal / Santa Cruz/Monterey","CA","HMO","No",NA,1,1,"Medicaid"
"205",NA,"Central California Alliance for Health
                                    
                                        
                                    

                                    
                                        Special Project / Area: MediCal / Merced","CA","HMO","No",NA,1,1,"Medicaid"
"214",NA,"Gold Coast Health Plan","CA","HMO","No",NA,0.5,1.5,"Medicaid"
"224",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Napa/Solano/Yolo (Southeast)","CA","HMO","No",NA,1,1.5,"Medicaid"
"234",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Humboldt/Del Norte (Northwest)","CA","HMO","No",NA,0.5,1,"Medicaid"
"244",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Modoc/Lassen/Shasta/Siskiyou/Trinity (Northeast)","CA","HMO","No",NA,0.5,1.5,"Medicaid"
"253",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Sonoma/Lake/Marin/Mendocino (Southwest)","CA","HMO","No",NA,1,1.5,"Medicaid"
"263",NA,"San Francisco Community Health Authority","CA","HMO","Yes (Interim)",NA,1,1.5,"Medicaid"
"272",NA,"San Joaquin County Health Commission dba Health Plan of San Joaquin","CA","HMO","Yes",NA,NA,NA,"Medicaid"
"282",NA,"Santa Barbara San Luis Obispo Regional Health Authority dba CenCal Health
                                    
                                        
                                    

                                    
                                        Special Area: Santa Barbara County","CA","HMO","No",NA,1,1.5,"Medicaid"
"292",12,"12","CA","12","12",12,12,12,"Medicaid"
"912",4,"HMO Colorado, Inc.","CO","HMO","Yes",2.5,4,3.5,"Commercial"
"1011",4,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",1.5,4,4,"Commercial"
"1111",3.5,"Aetna Life Insurance Company (Colorado)","CO","PPO/EPO","Yes",2,3,3,"Commercial"
"1211",3.5,"Denver Health Medical Plan, Inc.","CO","HMO/POS","Yes",2,4,3,"Commercial"
"1311",3.5,"Humana Health Plan, Inc. (Colorado)","CO","HMO/POS","Yes",NA,3,3,"Commercial"
"147",3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",2,3,3,"Commercial"
"157",3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","PPO","Yes",2,3.5,3,"Commercial"
"167",3.5,"Rocky Mountain Healthcare Options, Inc.","CO","PPO","Yes",2,3,3,"Commercial"
"177",3.5,"United Healthcare Services, Inc. (Colorado)","CO","PPO","Yes",2,3,3,"Commercial"
"187",3.5,"UnitedHealthcare Insurance Company (Colorado)","CO","PPO","Yes",2,3,3,"Commercial"
"197",3,"Cigna Health and Life Insurance Company - Colorado","CO","PPO","Yes",2.5,2.5,2.5,"Commercial"
"206",3,"Connecticut General Life Insurance Company - Colorado","CO","PPO","Yes",2.5,2.5,2.5,"Commercial"
"215",3,"UnitedHealthcare of Colorado, Inc.","CO","HMO","Yes",1.5,2.5,2.5,"Commercial"
"225",2.5,"Rocky Mountain Hospital and Medical Services, Inc. dba Anthem Blue Cross and Blue Shield (Colorado)
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","CO","PPO","No (In process)",4,2.5,2.5,"Commercial"
"235",NA,"Aetna Health Inc. (Pennsylvania) - Colorado","CO","HMO/POS","Yes",NA,NA,NA,"Commercial"
"245",NA,"Cigna HealthCare of Colorado","CO","HMO/POS","Yes",NA,NA,NA,"Commercial"
"254",NA,"UnitedHealthcare Military & Veterans Services, LLC","CO","POS","Yes",NA,NA,NA,"Commercial"
"264",NA,"Compass Rose Health Plan","CO","PPO","No",NA,NA,NA,"Commercial"
"913",4.5,"Aetna Life Insurance Company (Colorado)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CO","PPO","Yes",3.5,4,4,"Medicare"
"1012",4.5,"Kaiser Foundation Health Plan of Colorado
                                    
                                        
                                    

                                    
                                        CMS Contract: H0630","CO","HMO","Yes",3.5,5,4.5,"Medicare"
"1112",4,"Aetna Health Inc. (Pennsylvania) - Colorado
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","CO","HMO","Yes",3,4,3.5,"Medicare"
"1212",4,"PacifiCare of Colorado, Inc. (AZ/CO/NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0609","CO","HMO","Yes",3.5,4,3.5,"Medicare"
"1312",4,"Sierra Health and Life Insurance Company, Inc. (CO,MT,ND,SD,UT,WY)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CO","PPO","Yes",3.5,4,3.5,"Medicare"
"148",3.5,"Humana Health Plan, Inc. (Colorado)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","CO","HMO","Yes",3,3,3,"Medicare"
"158",3.5,"Rocky Mountain Health Maintenance Organization, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0602","CO","HMO","Yes",3.5,3.5,3,"Medicare"
"168",3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5652","CO","HMO/POS","No",4,4.5,3.5,"Medicare"
"178",3,"Denver Health Medical Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5608","CO","HMO","Yes",2,3,3,"Medicare"
"188",3,"UnitedHealthcare of Colorado, Inc. †
                                    
                                        
                                    

                                    
                                        CMS Contract: H0624","CO","HMO","No",2,3,3.5,"Medicare"
"198",NA,"UnitedHealthcare Insurance Company(CO,UT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","CO","PPO","Yes",NA,2,3,"Medicare"
"914",3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",2.5,2.5,3,"Medicaid"
"1013",2.5,"Denver Health Medical Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: CO Medicaid","CO","HMO","No",2.5,2.5,2,"Medicaid"
"1113",NA,"Kaiser Foundation Health Plan of Colorado","CO","HMO","No",2.5,NA,NA,"Medicaid"
"915",4.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut","CT","HMO/POS","Yes",4.5,4.5,3.5,"Commercial"
"1014",4,"Aetna Life Insurance Company (Connecticut)","CT","PPO/EPO","Yes",3.5,3.5,3.5,"Commercial"
"1114",4,"Cigna Health and Life Insurance Company - Connecticut","CT","PPO","Yes",3,4,3,"Commercial"
"1213",4,"ConnectiCare Insurance Company, Inc. (CICI)","CT","HMO/POS","Yes",3.5,4,3.5,"Commercial"
"1313",4,"ConnectiCare, Inc.","CT","HMO/POS","Yes",3.5,4,3.5,"Commercial"
"149",4,"Connecticut General Life Insurance Company - Connecticut","CT","PPO","Yes",3,4,3,"Commercial"
"159",4,"Oxford Health Insurance Company, Inc. ( Connecticut)","CT","PPO","Yes",4.5,3.5,3,"Commercial"
"169",4,"Oxford Health Plans (CT), Inc.","CT","HMO/POS","Yes",3.5,4,3,"Commercial"
"179",3.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","CT","PPO","Yes",4,3,2.5,"Commercial"
"189",3.5,"United Healthcare Services, Inc  (Connecticut)","CT","PPO","Yes",2,4,3,"Commercial"
"199",3.5,"UnitedHealthcare Insurance Company- Connecticut","CT","PPO","Yes",2,4,3,"Commercial"
"207",3,"Cigna HealthCare of Connecticut, Inc.","CT","HMO/POS","Yes",3,3,2,"Commercial"
"216",3,"Harvard Pilgrim Insurance Company, Inc. (CT)","CT","PPO","No",2,3.5,3,"Commercial"
"226",NA,"Aetna Health Inc. (Connecticut)","CT","HMO/POS","Yes",NA,NA,NA,"Commercial"
"236",NA,"Compass Rose Health Plan","CT","PPO","No",NA,NA,NA,"Commercial"
"916",4.5,"Aetna Life Insurance Company (Connecticut)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CT","PPO","Yes",3.5,4,4,"Medicare"
"1015",4,"Aetna Health Inc. (Connecticut)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5793","CT","HMO","Yes",3,3.5,4,"Medicare"
"1115",4,"Oxford Health Plans (CT), Inc. (Medicare)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0755","CT","HMO","Yes",4.5,4,3,"Medicare"
"1214",4,"Sierra Health and Life Insurance Company, Inc.-(CT,MA,ME,NH,RI,VT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CT","PPO","Yes",3.5,4,3.5,"Medicare"
"1314",3.5,"ConnectiCare, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H3528","CT","HMO/POS","No",4,3.5,3.5,"Medicare"
"1410",3.5,"UnitedHealthcare Insurance Company - Regional (CT, MA, RI, VT)
                                    
                                        
                                    

                                    
                                        CMS Contract: R7444","CT","PPO","Yes",2.5,3.5,3,"Medicare"
"1510",3,"WellCare of Connecticut, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0712","CT","HMO","Yes",2.5,3,3,"Medicare"
"1610",NA,"UnitedHealthcare Insurance Company (CT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0710","CT","PPO","No",NA,1.5,3.5,"Medicare"
