"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"23",NA,"Meritus Mutual Health Partners","AZ","PPO","Yes",NA,NA,NA,"Commercial"
"24",NA,"Special Agents Mutual Benefit Association","AZ","PPO","No",3,NA,NA,"Commercial"
"25",NA,"Blue Cross and Blue Shield of Arizona","AZ","HMO","No",NA,NA,NA,"Commercial"
"26",NA,"Blue Cross Blue Shield of Arizona","AZ","PPO","No",NA,NA,NA,"Commercial"
"27",NA,"Compass Rose Health Plan","AZ","PPO","No",NA,NA,NA,"Commercial"
"95",4.5,"Cigna HealthCare of Arizona","AZ","HMO","No",4,5,4.5,"Medicare"
"105",4,"Aetna Life Insurance Company (Arizona)","AZ","PPO","Yes",3.5,3.5,3.5,"Medicare"
"114",4,"Aetna Life Insurance Company (Pennsylvania)","AZ","PPO","Yes",3.5,3.5,3.5,"Medicare"
"124",4,"Humana Health Plan","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare"
"134",4,"Humana Health Plan - Arizona","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare"
"143",4,"Humana Health Plan - Kansas City","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare"
"153",3.5,"Aetna Health (Pennsylvania) - Arizona","AZ","HMO","Yes",2,3,3.5,"Medicare"
"162",3.5,"Blue Cross Blue Shield of Arizona Advantage","AZ","HMO","No",3,4,3.5,"Medicare"
"172",3.5,"CareMore HealthPlan (H0544)","AZ","HMO","No",3.5,4,3,"Medicare"
"182",3.5,"Humana Insurance (Ohio)","AZ","PPO","Yes",3.5,3.5,3,"Medicare"
"192",3.5,"Humana Insurance Company (Arizona)","AZ","PPO","Yes",3.5,3.5,3,"Medicare"
"201",3.5,"PacifiCare of Arizona","AZ","HMO","Yes",3,3,3,"Medicare"
"211",3.5,"UnitedHealthcare Insurance","AZ","PPO","Yes",3,3.5,3,"Medicare"
"221",3.5,"UnitedHealthcare of Arizona","AZ","HMO/POS","Yes",2.5,3,3,"Medicare"
"231",3,"CareMore HealthPlan (H2593)","AZ","HMO","No",2,3.5,3.5,"Medicare"
"241",3,"CareMore HealthPlan (H3447)","AZ","HMO","No",2.5,3.5,3.5,"Medicare"
"251",3,"CareMore HealthPlan (H4346)","AZ","HMO","No",2,3,3.5,"Medicare"
"261",3,"Health Net of Arizona","AZ","HMO","No",2.5,3,3,"Medicare"
"271",3,"Humana Insurance","AZ","PPO","No",4,3,3,"Medicare"
"28",3,"SCAN Health Plan (Arizona Classic/Connections)","AZ","HMO","No",3,2.5,3,"Medicare"
"29",12,"12","AZ","12","12",12,12,12,"Medicare"
"96",NA,"Mercy Care Plan","AZ","HMO","No",3,NA,NA,"Medicaid"
"106",NA,"Comprehensive Medical and Dental Program","AZ","HMO","No",NA,NA,NA,"Medicaid"
"115",NA,"Maricopa Health Plan","AZ","HMO","No",NA,NA,NA,"Medicaid"
"125",NA,"Medicaid Managed Care Operations- Acute Medicaid","AZ","HMO","No",NA,NA,NA,"Medicaid"
"135",NA,"Medicaid Managed Care Operations-Developmentally Disabled","AZ","HMO","No",NA,NA,NA,"Medicaid"
"144",NA,"Medicaid Managed Care Operations-LT Care","AZ","HMO","No",NA,NA,NA,"Medicaid"
"154",NA,"Phoenix Health Plan","AZ","HMO","No",NA,NA,NA,"Medicaid"
"163",NA,"University of Arizona Health Plans","AZ","HMO","No",NA,NA,NA,"Medicaid"
"97",3,"Humana Health Plan","AR","HMO/POS","Yes",1.5,3,2.5,"Commercial"
"107",3,"Vantage Health Plan","AR","HMO/POS","Yes (Interim)",4,2.5,3,"Commercial"
"116",2.5,"United Healthcare Insurance","AR","PPO","Yes",2.5,1.5,2,"Commercial"
"126",2.5,"United HealthCare Services","AR","PPO","Yes",3,2,2,"Commercial"
"136",2.5,"UnitedHealthcare Insurance","AR","PPO","Yes",3,2,2,"Commercial"
"145",2,"Aetna Life Insurance Company (Arkansas)","AR","PPO","Yes",3,1.5,1.5,"Commercial"
"155",2,"Coventry Health and Life Insurance Company (Kansas)","AR","PPO","Yes",2.5,1.5,1.5,"Commercial"
"164",NA,"Coventry Health and Life Insurance Company (Arkansas)","AR","PPO","Yes",NA,NA,NA,"Commercial"
"173",NA,"QualChoice Arkansas Health Plan","AR","HMO","No",NA,NA,NA,"Commercial"
"183",NA,"Special Agents Mutual Benefit Association","AR","PPO","No",3,NA,NA,"Commercial"
"193",NA,"Compass Rose Health Plan","AR","PPO","No",NA,NA,NA,"Commercial"
"98",4,"Aetna Life Insurance Company (Pennsylvania)","AR","PPO","Yes",3.5,3.5,3.5,"Medicare"
"108",4,"Humana Health Plan","AR","HMO","Yes",3.5,3.5,3.5,"Medicare"
"117",3.5,"Coventry Health Care of Kansas","AR","HMO","No",3,3.5,3.5,"Medicare"
"127",3.5,"Humana Health Plan - Kentucky","AR","HMO","Yes",3,3,3,"Medicare"
"137",3.5,"Humana Insurance (Ohio)","AR","PPO","Yes",3.5,3.5,3,"Medicare"
"146",3.5,"UnitedHealthcare Insurance","AR","PPO","Yes",3,3.5,3,"Medicare"
"156",3,"Coventry Health and Life Insurance (Missouri)","AR","PPO","No",3,3,3,"Medicare"
"165",3,"Coventry Health and Life Insurance Company","AR","PPO","No",3.5,3,3,"Medicare"
"174",3,"HealthSpring Life and Health (H2165)","AR","HMO","No",3.5,3,2.5,"Medicare"
"184",3,"Humana Insurance","AR","PPO","No",4,3,3,"Medicare"
"194",2.5,"Care Improvement Plus South Central Insurance (H6528)","AR","PPO","No",2.5,2.5,2,"Medicare"
"202",2.5,"Care Improvement Plus South Central Insurance (R3444)","AR","PPO","No",3,2.5,2,"Medicare"
"212",2.5,"Care Improvement Plus South Central Insurance (R9896)","AR","PPO","No",3,3,2.5,"Medicare"
"222",2.5,"HealthSpring Life and Health","AR","PPO","No",2.5,3,2.5,"Medicare"
"232",2,"HealthSpring Life and Health (H7811)","AR","HMO","No",2.5,2,2,"Medicare"
"242",1.5,"Windsor Health Plan (TN)","AR","HMO","No",2,1.5,1.5,"Medicare"
"252",NA,"Arkansas Blue Cross & Blue Shield","AR","PPO","No",NA,NA,1.5,"Medicare"
"262",NA,"Arkansas Blue Cross & Blue Shield","AR","HMO","No",NA,NA,1,"Medicare"
"272",NA,"HealthSpring Life and Health (H2676)","AR","PPO","No",NA,NA,2,"Medicare"
"281",NA,"HealthSpring Life and Health (H6972)","AR","HMO","No",NA,NA,2,"Medicare"
"118",NA,"[ No Data Submitted for Accounts ]","AR","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"99",5,"Kaiser Foundation Health Plan of Northern California","CA","HMO","Yes",3.5,4.5,4.5,"Commercial"
"109",4.5,"Kaiser Foundation Health Plan of Southern California","CA","HMO","Yes",3,4.5,4.5,"Commercial"
"119",4,"Sharp Health Plan","CA","HMO","Yes",4,3.5,3.5,"Commercial"
"128",4,"Western Health Advantage","CA","HMO","Yes",3,3.5,3.5,"Commercial"
"138",3.5,"Anthem Blue Cross","CA","HMO/POS","Yes",2,3,3,"Commercial"
"147",3.5,"Anthem Blue Cross","CA","PPO","Yes",2,3,3,"Commercial"
"157",3.5,"Anthem Blue Cross Life and Health Insurance","CA","PPO","Yes",2,3,3,"Commercial"
"166",3.5,"Blue Shield of California","CA","HMO/POS","Yes",3.5,3,3,"Commercial"
"175",3.5,"Cigna Health and Life Insurance","CA","PPO","Yes",2.5,3,3,"Commercial"
"185",3.5,"Cigna HealthCare of California","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial"
"195",3.5,"Connecticut General Life Insurance (Cigna)","CA","PPO","Yes",2.5,3,3,"Commercial"
"203",3.5,"Health Net of California","CA","HMO/POS","Yes",2.5,3,3,"Commercial"
"213",3.5,"UnitedHealthcare of California","CA","HMO","Yes",2.5,2.5,3,"Commercial"
"223",3,"Aetna Health of California","CA","HMO/POS","Yes",2,2,2.5,"Commercial"
"233",3,"Aetna Life Insurance Company (California)","CA","PPO","Yes",2.5,2.5,2.5,"Commercial"
"243",3,"Chinese Community Health Plan","CA","HMO","No",1,3.5,NA,"Commercial"
"253",3,"Health Net Life Insurance","CA","PPO","Yes",2.5,2.5,2.5,"Commercial"
"263",3,"United HealthCare Services","CA","PPO","Yes",2.5,2.5,3,"Commercial"
"273",3,"UnitedHealthcare Insurance","CA","PPO","Yes",2.5,2.5,3,"Commercial"
"282",2.5,"Blue Shield of California","CA","PPO","Yes",1.5,2,2.5,"Commercial"
"291",12,"12","CA","12","12",12,12,12,"Commercial"
"910",5,"Kaiser Foundation Health Plan of Northern California (H0524)","CA","HMO","Yes",4,5,4.5,"Medicare"
"1010",5,"Kaiser Foundation Health Plan of Southern California","CA","HMO","Yes",4,5,4.5,"Medicare"
"1110",4,"Aetna Life Insurance Company (California)","CA","PPO","Yes",3.5,3.5,3.5,"Medicare"
"129",4,"Aetna Life Insurance Company (Pennsylvania)","CA","PPO","Yes",3.5,3.5,3.5,"Medicare"
"139",4,"UnitedHealthcare of California","CA","HMO","Yes",3,3.5,3.5,"Medicare"
"148",3.5,"Aetna Health of California","CA","HMO","Yes",2.5,3.5,3,"Medicare"
"158",3.5,"Blue Shield of California","CA","HMO","Yes",3,3.5,3.5,"Medicare"
"167",3.5,"CareMore HealthPlan (H0544)","CA","HMO","No",3.5,4,3,"Medicare"
"176",3.5,"Health Net of California","CA","HMO","Yes",3,3.5,3,"Medicare"
"186",3.5,"SCAN Health Plan (Classic/Connections/Options/Signature)","CA","HMO","No",3.5,3.5,3.5,"Medicare"
"196",3.5,"UnitedHealthcare Insurance","CA","PPO","Yes",3,3.5,3,"Medicare"
"204",3,"Care1st Health Plan","CA","HMO","Yes",2,3.5,3,"Medicare"
"214",3,"CareMore HealthPlan (H2593)","CA","HMO","No",2,3.5,3.5,"Medicare"
"224",3,"CareMore HealthPlan (H3447)","CA","HMO","No",2.5,3.5,3.5,"Medicare"
"234",3,"CareMore HealthPlan (H4346)","CA","HMO","No",2,3,3.5,"Medicare"
"244",3,"GEMCare Health Plan","CA","HMO","No",3,3.5,2.5,"Medicare"
"254",3,"Inter Valley Health Plan","CA","HMO","No",2.5,3.5,3.5,"Medicare"
"264",3,"SCAN Health Plan (Legacy/Connections)ʠ","CA","HMO","No",2,3,3,"Medicare"
"274",2.5,"Central Health Plan of California","CA","HMO","No",1.5,3.5,3,"Medicare"
"283",2.5,"Easy Choice Health Plan","CA","HMO","No",2,2.5,2.5,"Medicare"
"292",12,"12","CA","12","12",12,12,12,"Medicare"
"911",4,"CalOptima","CA","HMO","Yes",2,4,3.5,"Medicaid"
"1011",3.5,"L.A. Care Health Plan","CA","HMO","Yes",2.5,3.5,3,"Medicaid"
"1111",3,"Care1st Health Plan (Los Angeles)","CA","HMO","Yes",2,3,2.5,"Medicaid"
"1210",3,"Care1st Health Plan (San Diego)","CA","HMO","Yes",1.5,3,3,"Medicaid"
"1310",3,"Community Health Group","CA","HMO","Yes",2.5,2,2.5,"Medicaid"
"149",3,"Inland Empire Health Plan","CA","HMO","Yes",2,3,2.5,"Medicaid"
"159",3,"Molina Healthcare of California Partner Plan","CA","HMO","Yes",1.5,3,2.5,"Medicaid"
"168",2.5,"Blue Cross of California Partnership Plan","CA","HMO","Yes",1,3,2.5,"Medicaid"
"177",2.5,"Health Net of California","CA","HMO","Yes",1,2,2.5,"Medicaid"
"187",2,"Contra Costa Health Plan","CA","HMO","Yes",2,NA,2,"Medicaid"
"197",1.5,"Alameda Alliance for Health","CA","HMO","Yes",1.5,NA,NA,"Medicaid"
"205",NA,"California Health & Wellness (Imperial County)","CA","HMO","No",NA,NA,1.5,"Medicaid"
"215",NA,"California Health & Wellness (Region 1)","CA","HMO","No",NA,NA,1.5,"Medicaid"
"225",NA,"California Health & Wellness (Region 2)","CA","HMO","No",NA,NA,1.5,"Medicaid"
"235",NA,"CenCal Health (San Luis Obispo County)","CA","HMO","No",NA,NA,2,"Medicaid"
"245",NA,"CenCal Health (Santa Barbara County)","CA","HMO","No",NA,NA,2,"Medicaid"
"255",NA,"Gold Coast Health Plan","CA","HMO","No",NA,NA,2,"Medicaid"
"265",NA,"Health Plan of San Joaquin (San Joaquin)","CA","HMO","Yes",NA,NA,NA,"Medicaid"
"275",NA,"Health Plan of San Joaquin (Stanislaus)","CA","HMO","Yes",NA,NA,NA,"Medicaid"
"284",NA,"Partnership HealthPlan of California (Northeast)","CA","HMO","No",NA,NA,1.5,"Medicaid"
"293",12,"12","CA","12","12",12,12,12,"Medicaid"
"912",4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",1.5,4.5,4.5,"Commercial"
"1012",4,"Cigna HealthCare of Colorado","CO","HMO/POS","Yes",3,4,4,"Commercial"
"1112",3.5,"Cigna Health and Life Insurance","CO","PPO","Yes",2,3.5,3.5,"Commercial"
"1211",3.5,"Connecticut General Life Insurance (Cigna)","CO","PPO","Yes",2,3.5,3.5,"Commercial"
"1311",3.5,"HMO Colorado","CO","HMO/POS","Yes",2,3.5,3.5,"Commercial"
"1410",3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",2.5,3,3.5,"Commercial"
"1510",3.5,"Rocky Mountain Healthcare Options","CO","PPO","Yes",2.5,3,3,"Commercial"
"169",3.5,"United HealthCare Services","CO","PPO","Yes",3,3.5,3,"Commercial"
"178",3.5,"UnitedHealthcare Insurance","CO","PPO","Yes",3,3.5,3,"Commercial"
"188",3,"Aetna Health (Pennsylvania) - Colorado","CO","HMO/POS","Yes",2,2.5,2.5,"Commercial"
"198",3,"Aetna Life Insurance Company (Colorado)","CO","PPO","Yes",3,3,2.5,"Commercial"
"206",3,"Humana Health Plan","CO","HMO/POS","Yes",1.5,3,2.5,"Commercial"
"216",2.5,"United Healthcare Insurance","CO","PPO","Yes",2.5,1.5,2,"Commercial"
"226",NA,"Colorado Health OP","CO","PPO","Yes (Interim)",NA,NA,NA,"Commercial"
"236",NA,"Denver Health Medical Plan","CO","HMO/POS","Yes",NA,NA,NA,"Commercial"
"246",NA,"Special Agents Mutual Benefit Association","CO","PPO","No",3,NA,NA,"Commercial"
"256",NA,"UnitedHealthcare of Colorado","CO","HMO","Yes",NA,NA,NA,"Commercial"
"266",NA,"Compass Rose Health Plan","CO","PPO","No",NA,NA,NA,"Commercial"
"913",4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",3.5,5,4,"Medicare"
"1013",4,"Aetna Life Insurance Company (Colorado)","CO","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1113",4,"Aetna Life Insurance Company (Pennsylvania)","CO","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1212",4,"Humana Health Plan","CO","HMO","Yes",3.5,3.5,3.5,"Medicare"
"1312",4,"Humana Health Plan - Kansas City","CO","HMO","Yes",3.5,3.5,3.5,"Medicare"
"1411",4,"PacifiCare of Colorado","CO","HMO","Yes",3,3.5,3.5,"Medicare"
"1511",4,"UnitedHealthcare Insurance","CO","HMO","No",4,5,4,"Medicare"
"1610",3.5,"Aetna Health (Pennsylvania) - Colorado","CO","HMO","Yes",2.5,3,3.5,"Medicare"
"179",3.5,"Humana Insurance (Ohio)","CO","PPO","Yes",3.5,3.5,3,"Medicare"
"189",3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",4,3,2.5,"Medicare"
"199",3.5,"UnitedHealthcare Insurance","CO","PPO","Yes",3,3.5,3,"Medicare"
"207",2.5,"Denver Health Medical Plan","CO","HMO","No",1.5,3.5,2.5,"Medicare"
"217",2.5,"UnitedHealthcare of Coloradoʠ","CO","HMO","No",2.5,3,3,"Medicare"
"227",2,"Colorado Access Health Plan","CO","HMO","No",1.5,2,2,"Medicare"
"237",NA,"UnitedHealthcare Insuranceʠ","CO","PPO","No",NA,1.5,3.5,"Medicare"
"914",3.5,"Denver Health Medical Plan","CO","HMO","No",NA,3.5,3,"Medicaid"
"1014",3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",3,3,4,"Medicaid"
"915",4.5,"Anthem Blue Cross and Blue Shield in Connecticut","CT","HMO/POS","Yes",4.5,4.5,4,"Commercial"
"1015",4,"Aetna Life Insurance Company (Connecticut)","CT","PPO","Yes",3.5,3.5,3,"Commercial"
"1114",4,"Cigna Health and Life Insurance","CT","PPO","Yes",3.5,4,3.5,"Commercial"
"1213",4,"ConnectiCare","CT","HMO/POS","Yes",3,4,3.5,"Commercial"
"1313",4,"ConnectiCare Insurance Company (CICI)","CT","HMO/POS","Yes",3,4,3.5,"Commercial"
"1412",4,"Connecticut General Life Insurance (Cigna)","CT","PPO","Yes",3.5,4,3.5,"Commercial"
"1512",3.5,"Aetna Health (Connecticut)","CT","HMO/POS","Yes",2.5,3.5,3,"Commercial"
"1611",3.5,"Oxford Health Plans","CT","HMO/POS","Yes",4.5,3.5,2,"Commercial"
"1710",3,"Oxford Health Insurance","CT","PPO","Yes",2.5,3,2,"Commercial"
"1810",3,"United Healthcare Insurance","CT","PPO","Yes",3,3,2,"Commercial"
"1910",3,"United HealthCare Services","CT","PPO","Yes",3,3,2,"Commercial"
"208",2.5,"Cigna HealthCare of Connecticut","CT","HMO/POS","Yes",3,2.5,NA,"Commercial"
"218",2.5,"United Healthcare Insurance","CT","PPO","Yes",2.5,1.5,2,"Commercial"
"228",NA,"HealthyCT","CT","PPO","Yes (Interim)",NA,NA,NA,"Commercial"
"238",NA,"Special Agents Mutual Benefit Association","CT","PPO","No",3,NA,NA,"Commercial"
"247",NA,"Compass Rose Health Plan","CT","PPO","No",NA,NA,NA,"Commercial"
"916",4,"Aetna Life Insurance Company (Connecticut)","CT","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1016",4,"Aetna Life Insurance Company (Pennsylvania)","CT","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1115",4,"UnitedHealthcare Insurance (Regional)","CT","PPO","Yes",3,3.5,3.5,"Medicare"
"1214",3.5,"Aetna Health (Connecticut)","CT","HMO","Yes",3,2.5,3.5,"Medicare"
"1314",3.5,"ConnectiCare","CT","HMO/POS","No",3.5,3,3.5,"Medicare"
"1413",3.5,"Oxford Health Plans","CT","HMO/POS","Yes",2.5,3,3.5,"Medicare"
"1513",3.5,"UnitedHealthcare Insurance","CT","PPO","Yes",3,3.5,3,"Medicare"
"1612",2.5,"WellCare of Connecticut","CT","HMO/POS","No",2,2.5,2.5,"Medicare"
"1711",NA,"UnitedHealthcare Insuranceʠ","CT","PPO","No",NA,1,NA,"Medicare"
"917",NA,"Community Health Network of Connecticut","CT","POS","No",NA,NA,NA,"Medicaid"
"1017",NA,"Community Health Network of Connecticut","CT","HMO","No",NA,NA,NA,"Medicaid"
"918",4,"Highmark BCBSD","DE","HMO/POS/PPO","Yes",4,3.5,3.5,"Commercial"
"1018",3.5,"Aetna Health (Pennsylvania) - Delaware","DE","HMO/POS","Yes",3,3,3,"Commercial"
"1116",3.5,"Coventry Health Care of Delaware","DE","HMO/POS","Yes",3,3.5,3,"Commercial"
"1215",3,"Optimum Choice","DE","HMO/POS","Yes",2.5,3,2,"Commercial"
"1315",3,"United HealthCare Services","DE","PPO","Yes",3,3.5,2,"Commercial"
"1414",3,"UnitedHealthcare Insurance","DE","PPO","Yes",3,3.5,2,"Commercial"
"1514",2.5,"Aetna Life Insurance Company (Delaware)","DE","PPO","Yes",2.5,2.5,2,"Commercial"
"1613",2.5,"Cigna Health and Life Insurance","DE","HMO/POS/PPO","Yes",3,2.5,1.5,"Commercial"
"1712",2.5,"Connecticut General Life Insurance (Cigna)","DE","HMO/POS/PPO","Yes",3,2.5,1.5,"Commercial"
"1811",2.5,"United Healthcare Insurance","DE","PPO","Yes",2.5,1.5,2,"Commercial"
"1911",NA,"Coventry Health and Life Insurance Company (DE/MD)","DE","PPO","Yes",NA,NA,NA,"Commercial"
"209",NA,"Special Agents Mutual Benefit Association","DE","PPO","No",3,NA,NA,"Commercial"
"219",NA,"Compass Rose Health Plan","DE","PPO","No",NA,NA,NA,"Commercial"
"919",4,"Aetna Life Insurance Company (Delaware)","DE","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1019",4,"Aetna Life Insurance Company (Pennsylvania)","DE","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1117",3.5,"Aetna Health (Pennsylvania) - Delaware","DE","HMO","Yes",3,3,3,"Medicare"
"1216",3.5,"Humana Insurance (Ohio)","DE","PPO","Yes",3.5,3.5,3,"Medicare"
"1316",3.5,"UnitedHealthcare Insurance","DE","PPO","Yes",3,3.5,3,"Medicare"
"1415",3,"Bravo Health Mid-Atlantic","DE","HMO","Yes",2,2.5,2.5,"Medicare"
"1515",2,"UnitedHealthcare Insuranceʠ","DE","PPO","No",2,1,2.5,"Medicare"
"920",3,"UnitedHealthcare Community Plan","DE","HMO","Yes",3,3,2,"Medicaid"
"921",5,"Kaiser Foundation Health Plan of the Mid-Atlantic States","DC","HMO","Yes",4,4.5,4.5,"Commercial"
"1020",3.5,"Aetna Health (Pennsylvania) - Maryland","DC","HMO/POS","Yes",3.5,3,3,"Commercial"
"1118",3.5,"Aetna Life Insurance Company (MD/DC)","DC","PPO","Yes",2.5,3,3,"Commercial"
"1217",3.5,"CareFirst BlueChoice","DC","HMO/POS","Yes",3,3,2.5,"Commercial"
"1317",3.5,"Cigna Health and Life Insurance","DC","HMO/POS/PPO","Yes",3,3,3.5,"Commercial"
"1416",3.5,"Connecticut General Life Insurance (Cigna)","DC","HMO/POS/PPO","Yes",3,3,3.5,"Commercial"
"1516",3.5,"Group Hospitalization and Medical Services","DC","HMO/POS","Yes",3,3,2.5,"Commercial"
"1614",3.5,"MD - Individual Practice Association","DC","HMO/POS","Yes",4,3.5,2,"Commercial"
"1713",3.5,"UnitedHealthcare of the Mid-Atlantic","DC","HMO/POS","Yes",3,3.5,2,"Commercial"
"1812",3,"CareFirst of Maryland","DC","PPO","Yes",2.5,3,2.5,"Commercial"
"1912",3,"Group Hospitalization and Medical Services","DC","PPO","Yes",2.5,3,2.5,"Commercial"
"2010",3,"Optimum Choice","DC","HMO/POS","Yes",2.5,3,2,"Commercial"
"2110",2.5,"United Healthcare Insurance","DC","PPO","Yes",2.5,1.5,2,"Commercial"
"229",2.5,"United HealthCare Services","DC","PPO","Yes",2,3,2,"Commercial"
"239",2.5,"UnitedHealthcare Insurance","DC","PPO","Yes",2,3,2,"Commercial"
"248",NA,"Innovation Health Insurance Company","DC","PPO","Yes",NA,NA,NA,"Commercial"
"257",NA,"Special Agents Mutual Benefit Association","DC","PPO","No",3,NA,NA,"Commercial"
"267",NA,"Compass Rose Health Plan","DC","PPO","No",NA,NA,NA,"Commercial"
"922",5,"Kaiser Foundation Health Plan of the Mid-Atlantic States","DC","HMO","Yes",3.5,5,4.5,"Medicare"
"1021",4,"Aetna Life Insurance Company (MD/DC)","DC","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1119",4,"Aetna Life Insurance Company (Pennsylvania)","DC","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1218",3.5,"UnitedHealthcare Insurance","DC","PPO","Yes",3,3.5,3,"Medicare"
"1318",3,"Bravo Health Mid-Atlantic","DC","HMO","Yes",2,2.5,2.5,"Medicare"
"1417",2,"UnitedHealthcare Insuranceʠ","DC","PPO","No",2,1,2.5,"Medicare"
"1517",NA,"Aetna Health (Pennsylvania) - District of Columbia","DC","HMO","Yes",NA,1,2,"Medicare"
"923",3.5,"AmeriHealth District of Columbia","DC","HMO","Yes (Interim)",3,4,2.5,"Medicaid"
"1022",2.5,"Health Services for Children with Special Needs","DC","HMO","No",3,3.5,2,"Medicaid"
"1120",NA,"DC Trusted Health Plan","DC","HMO","Yes (Interim)",NA,NA,NA,"Medicaid"
