"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"171",3,"Health Net of Arizona, Inc.","AZ","HMO","Yes",2.5,2.5,2,"Commercial"
"181",3,"Humana Health Plan, Inc. (Arizona)","AZ","HMO/POS","Yes",2,2.5,3,"Commercial"
"191",NA,"Blue Cross and Blue Shield of Arizona, Inc.","AZ","PPO","No",NA,NA,NA,"Commercial"
"20",NA,"Blue Cross and Blue Shield of Arizona, Inc.","AZ","HMO","No",NA,NA,NA,"Commercial"
"21",NA,"Compass Rose Health Plan","AZ","PPO","No",NA,NA,NA,"Commercial"
"95",4,"Aetna Health Inc. (Pennsylvania) - Arizona
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare"
"104",4,"Aetna Life Insurance Company (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","AZ","PPO","Yes",4,4,3.5,"Medicare"
"114",4,"Cigna HealthCare of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0354","AZ","HMO","No",3,5,4,"Medicare"
"124",4,"Humana Insurance Company (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H6609","AZ","PPO","Yes",4,3.5,3,"Medicare"
"133",4,"PacifiCare of Colorado, Inc. (AZ/CO/NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0609","AZ","HMO","Yes",3.5,3.5,3,"Medicare"
"142",4,"UnitedHeatlhcare  of Wisconsin, Inc. (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5253","AZ","HMO/POS","Yes",4,4,3,"Medicare"
"152",3.5,"Humana Health Plan, Inc. (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","AZ","HMO","Yes",3,3.5,3,"Medicare"
"162",3,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AZ","PPO","No",3.5,2.5,3,"Medicare"
"172",3,"MediSun, dba Blue Cross Blue Shield of Arizona Advantage
                                    
                                        
                                    

                                    
                                        CMS Contract: H0302","AZ","HMO","No",3,3.5,3,"Medicare"
"182",2.5,"Health Net of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0351","AZ","HMO","No",2.5,2.5,2.5,"Medicare"
"192",2.5,"SCHN/ Mercy Care Planʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H5580","AZ","HMO","No",2,3,3,"Medicare"
"201",2.5,"University of Arizona Health Plans - University Healthcare, Inc.ʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H6623","AZ","HMO","No",2,2,2.5,"Medicare"
"211",NA,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AZ","PPO","Yes",NA,3.5,3,"Medicare"
"22",NA,"UnitedHealthcare Insurance Company (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AZ","PPO","Yes",NA,1.5,2.5,"Medicare"
"23",NA,"University of Arizona Health Plans - University Healthcare, Inc.ʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H4931","AZ","HMO","No",NA,NA,2,"Medicare"
"24",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operationsʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H0321","AZ","HMO","No",NA,NA,NA,"Medicare"
"25",NA,"CareMore HealthPlan
                                    
                                        
                                    

                                    
                                        CMS Contract: H2593","AZ","HMO","No",NA,NA,NA,"Medicare"
"26",NA,"Health Choice Arizona, Inc. dba Health Choice Generationsʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H5587","AZ","HMO","No",NA,NA,NA,"Medicare"
"27",NA,"Phoenix Health Plans (formerly Abrazo Advantage Health Plan)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5985","AZ","HMO","No",NA,NA,NA,"Medicare"
"96",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: Acute Medicaid","AZ","HMO","No",NA,NA,NA,"Medicaid"
"105",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: Developmentally Disabled","AZ","HMO","No",NA,NA,NA,"Medicaid"
"115",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: LT Care","AZ","HMO","No",NA,NA,NA,"Medicaid"
"125",NA,"Phoenix Health Plan","AZ","HMO","No",NA,NA,NA,"Medicaid"
"134",NA,"SCHN/ Mercy Care Plan
                                    
                                        
                                    

                                    
                                        Special Project: CAHPS Sum Only","AZ","HMO","No",NA,NA,NA,"Medicaid"
"97",3,"United Healthcare Services, Inc  (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial"
"106",3,"UnitedHealthcare Insurance Company (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial"
"116",2.5,"Aetna Life Insurance Company (Arkansas)","AR","PPO","Yes",3.5,2,1.5,"Commercial"
"126",NA,"Coventry Health and Life Insurance Company (Arkansas)","AR","PPO","Yes",NA,NA,NA,"Commercial"
"135",NA,"Compass Rose Health Plan","AR","PPO","No",NA,NA,NA,"Commercial"
"143",NA,"QualChoice Arkansas Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project / Area: Federal Employee Program / Arkansas","AR","HMO/POS","No",NA,NA,NA,"Commercial"
"98",3,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","AR","PPO","No",3.5,3.5,3,"Medicare"
"107",3,"Coventry Health Care of Kansas, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2672","AR","HMO","No",3,3,3,"Medicare"
"117",3,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AR","PPO","No",3.5,2.5,3,"Medicare"
"127",2.5,"Arkansas Blue Cross & Blue Shield
                                    
                                        
                                    

                                    
                                        CMS Contract: H8091","AR","PPO","No",3,3,2,"Medicare"
"136",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R9896","AR","PPO","No",3,3,2.5,"Medicare"
"144",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H6528","AR","PPO","No",3,2.5,2.5,"Medicare"
"153",2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H7787","AR","PPO","No",3,3,2.5,"Medicare"
"163",2,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R3444","AR","PPO","No",2,1.5,2.5,"Medicare"
"173",2,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H6972","AR","HMO","No",2,2,2.5,"Medicare"
"183",NA,"Arkansas Blue Cross & Blue Shield
                                    
                                        
                                    

                                    
                                        CMS Contract: H9699","AR","HMO","No",NA,1,1,"Medicare"
"193",NA,"Harmony Health Plan of Illinois (Arkansas)","AR","HMO","Yes",NA,NA,NA,"Medicare"
"202",NA,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H2676","AR","PPO","No",NA,1,2,"Medicare"
"212",NA,"Sierra Health and Life Insurance Company, Inc. (AR,LA,NM,OK,TX)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AR","PPO","Yes",NA,3.5,3,"Medicare"
"221",NA,"UnitedHealthcare Insurance Company (AR,LA,OK,TX)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AR","PPO","Yes",NA,1.5,2.5,"Medicare"
"110",NA,"[ No Data Submitted for Accounts ]","AR","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"99",5,"Kaiser Foundation Health Plan, Inc. - Northern California","CA","HMO","Yes",3.5,4.5,4.5,"Commercial"
"108",4.5,"Kaiser Foundation Health Plan Inc. - Southern California","CA","HMO","Yes",3,4.5,4.5,"Commercial"
"118",4.5,"Sharp Health Plan","CA","HMO","Yes",3.5,4,4,"Commercial"
"128",4,"Western Health Advantage","CA","HMO","Yes",3.5,3.5,3.5,"Commercial"
"137",3.5,"Anthem Blue Cross Life and Health Insurance Company","CA","PPO","Yes",3,2.5,3,"Commercial"
"145",3.5,"Blue Cross of California dba Anthem Blue Cross","CA","HMO/POS","Yes",3,3.5,3,"Commercial"
"154",3.5,"Blue Cross of California dba Anthem Blue Cross","CA","PPO","Yes",3,2.5,3,"Commercial"
"164",3.5,"Blue Shield of California","CA","HMO/POS","Yes",2.5,3,3,"Commercial"
"174",3.5,"Cigna HealthCare of California, Inc.","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial"
"184",3.5,"Health Net of California, Inc.","CA","HMO/POS","Yes",2,3.5,3,"Commercial"
"194",3,"Aetna Life Insurance Company (California)","CA","PPO","Yes",2.5,2.5,2.5,"Commercial"
"203",3,"Blue Shield of California","CA","PPO","Yes",1.5,2.5,2.5,"Commercial"
"213",3,"Blue Shield of California Life & Health Insurance Company","CA","PPO","Yes",1.5,2.5,2.5,"Commercial"
"222",3,"Chinese Community Health Plan","CA","HMO","No",1,3.5,4,"Commercial"
"231",3,"Cigna Health and Life Insurance Company - California","CA","PPO","Yes",2,3,3,"Commercial"
"241",3,"Connecticut General Life Insurance Company - California","CA","PPO","Yes",2,3,3,"Commercial"
"251",3,"United HealthCare Services, Inc. (California)","CA","PPO","Yes",2,3,3,"Commercial"
"261",3,"UnitedHealthcare Insurance Company (California)","CA","PPO","Yes",2,3,3,"Commercial"
"271",3,"UnitedHealthcare of California (formerly PacifiCare of California)","CA","HMO","Yes",2,3,2.5,"Commercial"
"28",3,"Valley Health Plan","CA","HMO","Yes",1.5,3,3,"Commercial"
"29",12,"12","CA","12","12",12,12,12,"Commercial"
"910",5,"Kaiser Foundation Health Plan Inc. - Southern California
                                    
                                        
                                    

                                    
                                        Special Project: AccreditationCMS Contract: H0524","CA","HMO","Yes",4,4.5,4.5,"Medicare"
"109",5,"Kaiser Foundation Health Plan, Inc. - Northern California
                                    
                                        
                                    

                                    
                                        Special Project / Area: Accreditation / NorthCMS Contract: H0524","CA","HMO","Yes",4,4.5,4.5,"Medicare"
"119",4,"Aetna Life Insurance Company (California)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CA","PPO","Yes",4,4,3.5,"Medicare"
"129",4,"Blue Shield of California
                                    
                                        
                                    

                                    
                                        CMS Contract: H0504","CA","HMO","Yes",3.5,3.5,3.5,"Medicare"
"138",3.5,"Aetna Health of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0523","CA","HMO","Yes",2,4,3,"Medicare"
"146",3.5,"Arcadian Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5619","CA","HMO","No",NA,3,3.5,"Medicare"
"155",3.5,"Chinese Community Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H0571","CA","HMO","No",2,3,4,"Medicare"
"165",3.5,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0562","CA","HMO","Yes",3,3.5,3,"Medicare"
"175",3.5,"SCAN Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H5425","CA","HMO","No",3.5,4,3.5,"Medicare"
"185",3.5,"UnitedHealthcare of California (formerly PacifiCare of California)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0543","CA","HMO","Yes",2.5,4,3.5,"Medicare"
"195",3,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Project / Area: Accreditation / CaliforniaCMS Contract: H5928","CA","HMO","Yes",2,3,3,"Medicare"
"204",3,"GEMCare Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5609","CA","HMO","No",3,3,3,"Medicare"
"214",3,"Health Net Life Insurance Company - California
                                    
                                        
                                    

                                    
                                        CMS Contract: H5439","CA","PPO","No",2.5,2.5,3.5,"Medicare"
"223",3,"Inter Valley Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H0545","CA","HMO","No",2.5,3.5,3.5,"Medicare"
"232",3,"SCAN Health Planʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H5943","CA","HMO","No",2.5,2,3.5,"Medicare"
"242",2.5,"Central Health Plan of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5649","CA","HMO","No",1,3,3,"Medicare"
"252",2,"Easy Choice Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5087","CA","HMO","No",1,2.5,2.5,"Medicare"
"262",2,"Molina Healthcare of California Partner Plan Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5810","CA","HMO","No",1,2,3,"Medicare"
"272",NA,"Community Health Group
                                    
                                        
                                    

                                    
                                        CMS Contract: H5172","CA","HMO","No",NA,1.5,2.5,"Medicare"
"281",NA,"Inland Empire Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H5355","CA","HMO","No",NA,1.5,2,"Medicare"
"291",12,"12","CA","12","12",12,12,12,"Medicare"
"911",4,"Orange County Health Authority  -  dba CalOptima","CA","HMO","Yes",2.5,4,3.5,"Medicaid"
"1010",3.5,"Community Health Group","CA","HMO","Yes",3.5,3,2.5,"Medicaid"
"1110",3,"Alameda Alliance for Health","CA","HMO","Yes",1.5,2.5,2.5,"Medicaid"
"1210",3,"Blue Cross of California Partnership Plan","CA","HMO","Yes",1,2.5,2.5,"Medicaid"
"139",3,"Contra Costa Health Plan","CA","HMO","Yes",2.5,3,2.5,"Medicaid"
"147",3,"Inland Empire Health Plan","CA","HMO","Yes",2,3,2,"Medicaid"
"156",3,"Local Initiative Health Authority, dba L.A. Care Health Plan","CA","HMO","Yes - Under Review by NCQA",1.5,2.5,2.5,"Medicaid"
"166",3,"Molina Healthcare of California Partner Plan Inc.","CA","HMO","Yes",2,2.5,3,"Medicaid"
"176",2.5,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Area: Los Angeles","CA","HMO","Yes",1.5,3,2,"Medicaid"
"186",2.5,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Area: San Diego","CA","HMO","Yes",1.5,2.5,2.5,"Medicaid"
"196",1.5,"Santa Clara County Health Authority
                                    
                                        
                                    

                                    
                                        Special Project / Area: CA Medicaid / Santa Clara","CA","HMO","No",2.5,1,1.5,"Medicaid"
"205",NA,"Gold Coast Health Plan","CA","HMO","No",NA,1,1.5,"Medicaid"
"215",NA,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        Special Project / Area: CA Medicaid / San Diego - GMC, CA","CA","HMO","No",NA,1,1.5,"Medicaid"
"224",NA,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        Special Project / Area: CA Medicaid / Sacramento - GMC, CA","CA","HMO","No",NA,1,1.5,"Medicaid"
"233",NA,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        Special Project / Area: CA Medicaid / Two Plan - Tulare","CA","HMO","No",NA,1.5,1.5,"Medicaid"
"243",NA,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        Special Project / Area: CA Medicaid / Two Plan - LA","CA","HMO","No",NA,1,1.5,"Medicaid"
"253",NA,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        Special Project / Area: CA Medicaid / Two-Plan Kern","CA","HMO","No",NA,1,1.5,"Medicaid"
"263",NA,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        Special Project / Area: CA Medicaid / Two plan Stanislaus","CA","HMO","No",NA,1,1,"Medicaid"
"273",NA,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        Special Project / Area: CA Medicaid / San Joaquin","CA","HMO","No",NA,0.5,1,"Medicaid"
"282",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Napa/Solano/Yolo (Southeast)","CA","HMO","No",NA,1.5,1.5,"Medicaid"
"292",123,"123","CA","123","123",123,123,123,"Medicaid"
"912",4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",2.5,4.5,4,"Commercial"
"1011",4,"HMO Colorado, Inc.","CO","HMO","Yes",2.5,4,3,"Commercial"
"1111",3.5,"Cigna Health and Life Insurance Company - Colorado","CO","PPO","Yes",2.5,3.5,3.5,"Commercial"
"1211",3.5,"Connecticut General Life Insurance Company - Colorado","CO","PPO","Yes",2.5,3.5,3.5,"Commercial"
"1310",3.5,"Denver Health Medical Plan, Inc.","CO","HMO/POS","Yes",1.5,4,3,"Commercial"
"148",3.5,"Rocky Mountain Healthcare Options, Inc.","CO","PPO","Yes",2.5,3,3,"Commercial"
"157",3.5,"United Healthcare Services, Inc  (Colorado)","CO","PPO","Yes",2.5,3.5,3,"Commercial"
"167",3.5,"UnitedHealthcare Insurance Company (Colorado)","CO","PPO","Yes",2.5,3.5,3,"Commercial"
"177",3,"Aetna Health Inc. (Pennsylvania) - Colorado","CO","HMO/POS","Yes",2,3,2.5,"Commercial"
"187",3,"Aetna Life Insurance Company (Colorado)","CO","PPO","Yes",2.5,3,2.5,"Commercial"
"197",3,"Humana Health Plan, Inc (Colorado)","CO","HMO/POS","Yes",1.5,3,3.5,"Commercial"
"206",3,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",2,3,3,"Commercial"
"216",3,"Rocky Mountain Health Maintenance Organization, Inc.","CO","PPO","No",2.5,3.5,3,"Commercial"
"225",2.5,"Rocky Mountain Hospital & Medical Services, Inc. dba Anthem Blue Cross and Blue Shield (Colorado)
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","CO","PPO","No (Scheduled)",3.5,2.5,2,"Commercial"
"234",NA,"Cigna HealthCare of Colorado","CO","HMO/POS","Yes",NA,NA,NA,"Commercial"
"244",NA,"UnitedHealthcare of Colorado, Inc.","CO","HMO","Yes",NA,NA,NA,"Commercial"
"254",NA,"Compass Rose Health Plan","CO","PPO","No",NA,NA,NA,"Commercial"
"913",4.5,"Kaiser Foundation Health Plan of Colorado
                                    
                                        
                                    

                                    
                                        CMS Contract: H0630","CO","HMO","Yes",3.5,5,4.5,"Medicare"
"1012",4,"Aetna Health Inc. (Pennsylvania) - Colorado
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","CO","HMO","Yes",3.5,3.5,3.5,"Medicare"
"1112",4,"Aetna Life Insurance Company (Colorado)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CO","PPO","Yes",4,4,3.5,"Medicare"
"1212",4,"PacifiCare of Colorado, Inc. (AZ/CO/NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0609","CO","HMO","Yes",3.5,3.5,3,"Medicare"
"1311",4,"UnitedHealthcare Insurance Company - Maryland (Medicare)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5652","CO","HMO","No",4,4.5,4,"Medicare"
"149",3.5,"Humana Health Plan, Inc (Colorado)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","CO","HMO","Yes",3,3.5,3,"Medicare"
"158",3.5,"Rocky Mountain Health Maintenance Organization, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0602","CO","HMO","Yes",4,3,2.5,"Medicare"
"168",3,"Denver Health Medical Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5608","CO","HMO","No (Scheduled)",2,3,3.5,"Medicare"
"178",3,"UnitedHealthcare of Colorado, Inc.ʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H0624","CO","HMO","No",2.5,3,3,"Medicare"
"188",NA,"Sierra Health and Life Insurance Company, Inc. (CO,MT,ND,SD,UT,WY)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CO","PPO","Yes",NA,3.5,3,"Medicare"
"198",NA,"UnitedHealthcare Insurance Company(CO,UT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","CO","PPO","Yes",NA,1.5,2.5,"Medicare"
"914",3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",3,2,3,"Medicaid"
"1013",3,"Denver Health Medical Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: CO Medicaid","CO","HMO","No",3,3.5,2.5,"Medicaid"
"915",4.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut","CT","HMO/POS","Yes",4.5,4.5,4,"Commercial"
"1014",4,"Aetna Health Inc. (Connecticut)","CT","HMO/POS","Yes",2.5,3.5,4,"Commercial"
"1113",4,"Cigna Health and Life Insurance Company - Connecticut","CT","PPO","Yes",3.5,4,3.5,"Commercial"
"1213",4,"ConnectiCare Insurance Company, Inc. (CICI)","CT","HMO/POS","Yes",3,4,4,"Commercial"
"1312",4,"ConnectiCare, Inc.","CT","HMO/POS","Yes",3,4,4,"Commercial"
"1410",4,"Connecticut General Life Insurance Company - Connecticut","CT","PPO","Yes",3.5,4,3.5,"Commercial"
"159",4,"Oxford Health Plans (CT), Inc.","CT","HMO/POS","Yes",3.5,4,3,"Commercial"
"169",3.5,"Aetna Life Insurance Company (Connecticut)","CT","PPO","Yes",2.5,3.5,3.5,"Commercial"
"179",3.5,"Cigna HealthCare of Connecticut, Inc.","CT","HMO/POS","Yes",3.5,3.5,1.5,"Commercial"
"189",3.5,"Oxford Health Insurance Company, Inc. - Connecticut","CT","PPO","Yes",3.5,3,3,"Commercial"
"199",3.5,"United Healthcare Services, Inc  (Connecticut)","CT","PPO","Yes",2.5,3.5,3.5,"Commercial"
"207",3.5,"UnitedHealthcare Insurance Company- Connecticut","CT","PPO","Yes",2.5,3.5,3.5,"Commercial"
"217",3,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","CT","PPO","No (Scheduled)",4,3,2,"Commercial"
"226",NA,"HealthyCT, Inc.","CT","PPO","Yes",NA,NA,NA,"Commercial"
"235",NA,"Compass Rose Health Plan","CT","PPO","No",NA,NA,NA,"Commercial"
"245",NA,"Harvard Pilgrim Insurance Company, Inc. (CT)","CT","PPO","No",NA,NA,NA,"Commercial"
"916",4,"Aetna Health Inc. (Connecticut)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5793","CT","HMO","Yes",3,3,3.5,"Medicare"
"1015",4,"Aetna Life Insurance Company (Connecticut)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CT","PPO","Yes",4,4,3.5,"Medicare"
"1114",3.5,"ConnectiCare, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H3528","CT","HMO/POS","No",4.5,3.5,3.5,"Medicare"
"1214",3.5,"Oxford Health Plans (CT), Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0755","CT","HMO/POS","No",3.5,3,3.5,"Medicare"
"1313",3.5,"UnitedHealthcare Insurance Company - Regional (CT, MA, RI, VT)
                                    
                                        
                                    

                                    
                                        CMS Contract: R7444","CT","PPO","Yes",3,3,3.5,"Medicare"
"1411",3,"WellCare of Connecticut, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0712","CT","HMO","Yes",2.5,2,3,"Medicare"
"1510",NA,"Sierra Health and Life Insurance Company, Inc.-(CT,MA,ME,NH,RI,VT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CT","PPO","Yes",NA,3.5,3,"Medicare"
"1610",NA,"UnitedHealthcare Insurance Company (CT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0710","CT","PPO","No",NA,1.5,3.5,"Medicare"
"917",NA,"Community Health Network of Connecticut, Inc.","CT","POS","No",NA,NA,NA,"Medicaid"
"1016",NA,"Community Health Network of Connecticut, Inc.","CT","HMO","No",NA,NA,NA,"Medicaid"
