"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"221",2.5,"ONECare by Care1st HealthPlan Arizona †
                                    
                                        
                                    

                                    
                                        CMS Contract: H5430","AZ","HMO","No",2,2,3,"Medicare"
"231",2.5,"SCHN/ Mercy Care Plan †
                                    
                                        
                                    

                                    
                                        CMS Contract: H5580","AZ","HMO","No",2.5,2.5,3,"Medicare"
"24",2.5,"University of Arizona Health Plans - University Healthcare, Inc. †
                                    
                                        
                                    

                                    
                                        CMS Contract: H4931","AZ","HMO","No",2.5,2,2.5,"Medicare"
"25",NA,"Fresenius Health Plans Insurance Company †
                                    
                                        
                                    

                                    
                                        CMS Contract: H9312","AZ","PPO","No",NA,0.5,NA,"Medicare"
"26",NA,"Health Net of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H9287","AZ","HMO","No",NA,1.5,3,"Medicare"
"27",NA,"UnitedHealthcare Insurance Company (CT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0710","AZ","PPO","No",NA,1.5,3,"Medicare"
"28",NA,"CareMore HealthPlan
                                    
                                        
                                    

                                    
                                        CMS Contract: H2593","AZ","HMO","No",NA,NA,NA,"Medicare"
"29",12,"12","AZ","12","12",12,12,12,"Medicare"
"96",NA,"SCHN/ Mercy Care Plan
                                    
                                        
                                    

                                    
                                        Special Project: CAHPS Sum Only","AZ","HMO","No",4,NA,NA,"Medicaid"
"106",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: Acute Medicaid","AZ","HMO","No",NA,NA,NA,"Medicaid"
"115",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: Developmentally Disabled","AZ","HMO","No",NA,NA,NA,"Medicaid"
"125",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: LT Care","AZ","HMO","No",NA,NA,NA,"Medicaid"
"97",3,"United HealthCare Services, Inc. (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial"
"107",3,"UnitedHealthcare Insurance Company (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial"
"116",2.5,"Aetna Life Insurance Company (Arkansas)","AR","PPO/EPO","Yes",3,1.5,1.5,"Commercial"
"126",1.5,"American Postal Workers Union Health Plan","AR","PPO","No",4,0.5,1.5,"Commercial"
"135",NA,"Compass Rose Health Plan","AR","PPO","No",NA,NA,NA,"Commercial"
"145",NA,"Government Employees Health Association, Inc.","AR","PPO","No",NA,NA,NA,"Commercial"
"155",NA,"National Association of Letter Carriers Health Benefit Plan","AR","PPO","No",NA,NA,NA,"Commercial"
"165",NA,"QualChoice Arkansas Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","AR","HMO/POS/PPO","No",NA,NA,NA,"Commercial"
"175",NA,"Special Agents Mutual Benefit Association","AR","PPO","No",NA,NA,NA,"Commercial"
"98",4,"Sierra Health and Life Insurance Company, Inc. (AR,LA,NM,OK,TX)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AR","PPO","Yes",4,5,3.5,"Medicare"
"108",3.5,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","AR","PPO","No",4,3.5,3.5,"Medicare"
"117",3.5,"Coventry Health Care of Missouri, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2663","AR","HMO/POS","No",4,4,3.5,"Medicare"
"127",3.5,"HealthSpring of Tennessee
                                    
                                        
                                    

                                    
                                        CMS Contract: H4454","AR","HMO","No",3.5,4.5,3.5,"Medicare"
"136",3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2406","AR","PPO","No",3.5,4,3.5,"Medicare"
"146",3.5,"UnitedHealthcare Insurance Company (AR,LA,OK,TX)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AR","PPO","Yes",3,3.5,3,"Medicare"
"156",3.5,"UnitedHealthcare of the Midlands, Inc. - AR
                                    
                                        
                                    

                                    
                                        CMS Contract: H2802","AR","HMO/POS","Yes",3.5,3.5,3,"Medicare"
"166",3,"HealthSpring of Tennessee
                                    
                                        
                                    

                                    
                                        CMS Contract: H4407","AR","HMO","No",3.5,4,3,"Medicare"
"176",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R3444","AR","PPO","No",2.5,3,2.5,"Medicare"
"183",2.5,"Harmony Health Plan of Illinois (Arkansas)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1416","AR","HMO/POS","Yes",2.5,2,2,"Medicare"
"193",2,"QualChoice Advantage
                                    
                                        
                                    

                                    
                                        CMS Contract: H6947","AR","HMO","No",2,2,2,"Medicare"
"203",NA,"Arkansas Superior Select, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1587","AR","HMO/POS","No",NA,0.5,1.5,"Medicare"
"118",NA,"[ No Data Submitted for Accounts ]","AR","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"99",4.5,"Kaiser Foundation Health Plan Inc. - Southern California","CA","HMO","Yes",3,5,4.5,"Commercial"
"109",4.5,"Kaiser Foundation Health Plan, Inc. - Northern California","CA","HMO","Yes",3,5,4.5,"Commercial"
"119",4.5,"Sharp Health Plan","CA","HMO","Yes",3,4.5,4,"Commercial"
"128",4,"Western Health Advantage","CA","HMO","Yes",3.5,4,3,"Commercial"
"137",3.5,"Anthem Blue Cross Life and Health Insurance Company","CA","PPO/EPO","Yes",2,3,3,"Commercial"
"147",3.5,"Blue Cross of California dba Anthem Blue Cross","CA","HMO/POS","Yes",2,3.5,3,"Commercial"
"157",3.5,"Blue Cross of California dba Anthem Blue Cross","CA","PPO/EPO","Yes",2,3,3,"Commercial"
"167",3.5,"Blue Shield of California","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial"
"177",3.5,"Cigna HealthCare of California, Inc.","CA","HMO/POS","Yes",2,3.5,2.5,"Commercial"
"184",3.5,"Health Net Life Insurance Company - California","CA","PPO","Yes",2.5,3,3.5,"Commercial"
"194",3.5,"Health Net of California, Inc.","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial"
"204",3.5,"United HealthCare Services, Inc. (California)","CA","PPO","Yes",2,3.5,3,"Commercial"
"213",3.5,"UnitedHealthcare Insurance Company (California)","CA","PPO","Yes",2,3.5,3,"Commercial"
"222",3.5,"UnitedHealthcare of California (formerly PacifiCare of California)","CA","HMO","Yes",3,3.5,3,"Commercial"
"232",3,"Aetna Health of California, Inc.","CA","HMO/POS","Yes",NA,3,3,"Commercial"
"241",3,"Aetna Life Insurance Company (California)","CA","PPO/EPO","Yes",2,2.5,3,"Commercial"
"251",3,"Blue Shield of California","CA","PPO","Yes",NA,2.5,3,"Commercial"
"261",3,"Blue Shield of California Life & Health Insurance Company","CA","PPO","Yes",NA,2.5,3,"Commercial"
"271",3,"Chinese Community Health Plan","CA","HMO","No",2,4,NA,"Commercial"
"281",3,"Cigna Health and Life Insurance Company - California","CA","PPO/EPO","Yes",2,3.5,3,"Commercial"
"291",12,"12","CA","12","12",12,12,12,"Commercial"
"910",5,"Kaiser Foundation Health Plan Inc. - Southern California
                                    
                                        
                                    

                                    
                                        Special Project: AccreditationCMS Contract: H0524","CA","HMO","Yes",4,5,4.5,"Medicare"
"1010",5,"Kaiser Foundation Health Plan, Inc. - Northern California
                                    
                                        
                                    

                                    
                                        Special Project / Area: Accreditation / NorthCMS Contract: H0524","CA","HMO","Yes",4,5,4.5,"Medicare"
"1110",4,"Aetna Health of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0523","CA","HMO","Yes",3,3.5,3.5,"Medicare"
"129",4,"Aetna Life Insurance Company (California)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CA","PPO","Yes",3.5,4,3.5,"Medicare"
"138",4,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CA","PPO","Yes",4,5,3.5,"Medicare"
"148",4,"UnitedHealthcare of California (formerly PacifiCare of California)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0543","CA","HMO","Yes",3,4,3,"Medicare"
"158",3.5,"Blue Shield of California
                                    
                                        
                                    

                                    
                                        CMS Contract: H0504","CA","HMO","Yes",2.5,3,3,"Medicare"
"168",3.5,"Chinese Community Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H0571","CA","HMO","No",2,3.5,4,"Medicare"
"178",3.5,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0562","CA","HMO","Yes",2.5,3.5,3.5,"Medicare"
"185",3.5,"Inter Valley Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H0545","CA","HMO","No",2.5,4,3.5,"Medicare"
"195",3.5,"SCAN Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H5425","CA","HMO","No",3,3.5,3.5,"Medicare"
"205",3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2406","CA","PPO","No",3.5,4,3.5,"Medicare"
"214",3.5,"Stanford Health Care Advantage
                                    
                                        
                                    

                                    
                                        CMS Contract: H2986","CA","HMO","No",3.5,3.5,3.5,"Medicare"
"223",3.5,"UnitedHealthcare Insurance Company (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","CA","PPO","Yes",3,3.5,3,"Medicare"
"233",3,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Project / Area: Accreditation / CaliforniaCMS Contract: H5928","CA","HMO","Yes",1.5,3,2.5,"Medicare"
"242",3,"Community Health Group
                                    
                                        
                                    

                                    
                                        CMS Contract: H5172","CA","HMO","No",2.5,3.5,3,"Medicare"
"252",3,"Easy Choice Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5087","CA","HMO","No (Scheduled)",1.5,3,3.5,"Medicare"
"262",3,"Local Initiative Health Authority, dba L.A. Care Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H8258","CA","HMO","Yes",2,2,2.5,"Medicare"
"272",2.5,"Central Health Plan of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5649","CA","HMO","No",1,3.5,3,"Medicare"
"282",2.5,"Golden State Medicare Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H2241","CA","HMO","No",2,3.5,2.5,"Medicare"
"292",12,"12","CA","12","12",12,12,12,"Medicare"
"911",4,"Orange County Health Authority  -  dba CalOptima","CA","HMO","Yes",1.5,4.5,3.5,"Medicaid"
"1011",3.5,"Alameda Alliance for Health","CA","HMO","Yes",2,4,3,"Medicaid"
"1111",3.5,"Community Health Group","CA","HMO","Yes",3,3.5,3.5,"Medicaid"
"1210",3.5,"Contra Costa Health Plan","CA","HMO","Yes",2,4,2.5,"Medicaid"
"139",3.5,"Inland Empire Health Plan","CA","HMO","Yes",2.5,3,3,"Medicaid"
"149",3.5,"Local Initiative Health Authority, dba L.A. Care Health Plan","CA","HMO","Yes",1.5,3.5,3,"Medicaid"
"159",3.5,"Molina Healthcare of California Partner Plan Inc.","CA","HMO","Yes",2,3.5,3,"Medicaid"
"169",3,"Blue Cross of California Partnership Plan","CA","HMO","Yes",1.5,3,3,"Medicaid"
"179",3,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Area: San Diego","CA","HMO","Yes",2,3,2.5,"Medicaid"
"186",2.5,"San Joaquin County Health Commission dba Health Plan of San Joaquin","CA","HMO","Yes",2,2.5,1.5,"Medicaid"
"196",2,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Area: Los Angeles","CA","HMO","Yes",1.5,2.5,1.5,"Medicaid"
"206",NA,"Gold Coast Health Plan","CA","HMO","No",NA,1.5,1.5,"Medicaid"
"215",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Napa/Solano/Yolo (Southeast)","CA","HMO","No (Scheduled)",NA,1.5,1.5,"Medicaid"
"224",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Humboldt/Del Norte (Northwest)","CA","HMO","No (Scheduled)",NA,1,1.5,"Medicaid"
"234",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Modoc/Lassen/Shasta/Siskiyou/Trinity (Northeast)","CA","HMO","No (Scheduled)",NA,1,1.5,"Medicaid"
"243",NA,"Partnership HealthPlan of California
                                    
                                        
                                    

                                    
                                        Special Area: Sonoma/Lake/Marin/Mendocino (Southwest)","CA","HMO","No (Scheduled)",NA,1.5,1.5,"Medicaid"
"253",NA,"San Francisco Community Health Authority","CA","HMO","Yes",NA,NA,NA,"Medicaid"
"263",NA,"San Mateo Health Commission dba Health Plan of San Mateo","CA","HMO","Yes (Interim)",NA,NA,NA,"Medicaid"
"273",NA,"Santa Barbara San Luis Obispo Regional Health Authority dba CenCal Health
                                    
                                        
                                    

                                    
                                        Special Area: Santa Barbara County","CA","HMO","No",NA,2,1.5,"Medicaid"
"283",NA,"Santa Barbara San Luis Obispo Regional Health Authority dba CenCal Health
                                    
                                        
                                    

                                    
                                        Special Area: San Luis Obispo County","CA","HMO","No",NA,2,1.5,"Medicaid"
"293",12,"12","CA","12","12",12,12,12,"Medicaid"
"912",4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",2.5,4.5,4,"Commercial"
"1012",4,"Rocky Mountain Health Maintenance Organization, Inc.","CO","PPO","Yes",3,4,4,"Commercial"
"1112",4,"United HealthCare Services, Inc. (Colorado)","CO","PPO","Yes",2.5,3.5,3.5,"Commercial"
"1211",4,"UnitedHealthcare Insurance Company (Colorado)","CO","PPO","Yes",2.5,3.5,3.5,"Commercial"
"1310",3.5,"Aetna Life Insurance Company (Colorado)","CO","PPO/EPO","Yes",2.5,3,3,"Commercial"
"1410",3.5,"Cigna Health and Life Insurance Company - Colorado","CO","PPO","Yes",2.5,3.5,3.5,"Commercial"
"1510",3.5,"Denver Health Medical Plan, Inc.","CO","HMO/POS","Yes",2.5,4.5,3,"Commercial"
"1610",3.5,"HMO Colorado, Inc.","CO","HMO","Yes",3,4,3,"Commercial"
"1710",3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",2,3,3,"Commercial"
"187",3.5,"Rocky Mountain Hospital and Medical Services, Inc. dba Anthem Blue Cross and Blue Shield (Colorado)
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","CO","PPO","Yes",3.5,3,2.5,"Commercial"
"197",3,"Humana Health Plan, Inc. (Colorado)","CO","HMO/POS","Yes",1,3,3,"Commercial"
"207",3,"UnitedHealthcare of Colorado, Inc.","CO","HMO","Yes",1.5,2.5,3,"Commercial"
"216",1.5,"American Postal Workers Union Health Plan","CO","PPO","No",4,0.5,1.5,"Commercial"
"225",NA,"Aetna Health Inc. (Pennsylvania) - Colorado","CO","HMO/POS","Yes",NA,NA,NA,"Commercial"
"235",NA,"Cigna HealthCare of Colorado","CO","HMO/POS","Yes",NA,NA,NA,"Commercial"
"244",NA,"UnitedHealthcare Military & Veterans Services, LLC","CO","POS","Yes",NA,NA,NA,"Commercial"
"254",NA,"Compass Rose Health Plan","CO","PPO","No",NA,NA,NA,"Commercial"
"264",NA,"Government Employees Health Association, Inc.","CO","PPO","No",NA,NA,NA,"Commercial"
"274",NA,"National Association of Letter Carriers Health Benefit Plan","CO","PPO","No",NA,NA,NA,"Commercial"
"284",NA,"Special Agents Mutual Benefit Association","CO","PPO","No",NA,NA,NA,"Commercial"
"913",5,"Kaiser Foundation Health Plan of Colorado
                                    
                                        
                                    

                                    
                                        CMS Contract: H0630","CO","HMO","Yes",3.5,5,4.5,"Medicare"
"1013",4,"Aetna Health Inc. (Pennsylvania) - Colorado
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","CO","HMO","Yes",3.5,3,3.5,"Medicare"
"1113",4,"Aetna Life Insurance Company (Colorado)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CO","PPO","Yes",3.5,4,3.5,"Medicare"
"1212",4,"PacifiCare of Colorado, Inc. (AZ/CO/NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0609","CO","HMO","Yes",3,3.5,3.5,"Medicare"
"1311",4,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5652","CO","HMO/POS","No",3.5,4.5,4,"Medicare"
"1411",4,"Sierra Health and Life Insurance Company, Inc. (CO,MT,ND,SD,UT,WY)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CO","PPO","Yes",4,5,3.5,"Medicare"
"1511",3.5,"Denver Health Medical Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5608","CO","HMO","Yes",2.5,3.5,3,"Medicare"
"1611",3.5,"Humana Health Plan, Inc. (Colorado)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","CO","HMO","Yes",2.5,3,3,"Medicare"
"1711",3.5,"Rocky Mountain Health Maintenance Organization, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0602","CO","HMO","Yes",3.5,3.5,3,"Medicare"
"188",3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2406","CO","PPO","No",3.5,4,3.5,"Medicare"
"198",3.5,"UnitedHealthcare Insurance Company(CO,UT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","CO","PPO","Yes",3,3.5,3,"Medicare"
"208",3,"UnitedHealthcare of Colorado, Inc. †
                                    
                                        
                                    

                                    
                                        CMS Contract: H0624","CO","HMO","No",2,3,3,"Medicare"
"217",NA,"UnitedHealthcare Insurance Company (CT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0710","CO","PPO","No",NA,1.5,3,"Medicare"
"226",NA,"CareMore HealthPlan
                                    
                                        
                                    

                                    
                                        CMS Contract: H4346","CO","HMO","No",NA,NA,NA,"Medicare"
"914",3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",3,3,3.5,"Medicaid"
"1014",2.5,"Denver Health Medical Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: CO Medicaid","CO","HMO","No",4,3,2,"Medicaid"
"915",4.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut","CT","HMO/POS","Yes",4,4,3.5,"Commercial"
"1015",4,"Cigna Health and Life Insurance Company - Connecticut","CT","PPO","Yes",3,4,3.5,"Commercial"
"1114",4,"Oxford Health Insurance Company, Inc. ( Connecticut)","CT","PPO","Yes",3.5,3.5,3.5,"Commercial"
"1213",4,"Oxford Health Plans (CT), Inc.","CT","HMO/POS","Yes",4,3.5,3,"Commercial"
"1312",3.5,"Aetna Life Insurance Company (Connecticut)","CT","PPO/EPO","Yes",3,2.5,3.5,"Commercial"
